model,data,roc_auc,acc,recall,precision,f1
XGBClassifier,test,0.8607274793975561,0.7743080198722498,0.8048128342245989,0.5512820512820513,0.6543478260869564
LightGBM,test,0.8606486863520111,0.7714691270404542,0.820855614973262,0.5462633451957295,0.655982905982906
LogisticRegression,test,0.8567452013743573,0.7551454932576295,0.8235294117647058,0.524701873935264,0.6409989594172736
RandomForestClassifer,test,0.8505063421943218,0.7608232789212207,0.8021390374331551,0.5328596802841918,0.6403415154749199
